date,symbol,action,shares,price,cost,position_size,confidence,stop_loss,regime,revenue,pnl,return_pct,holding_days,reason,drawdown
2023-07-14,MSFT,SELL,6,345.24,,,0.7703842154264243,,MEDIUM,2069.36856,78.38855999999987,3.937184703010571,4.0,Model sell signal,
2023-08-08,MSFT,BUY,6,326.05,1958.2563,0.1224410888755399,0.8031506348252849,299.966,HIGH,,,,,,
2023-09-08,MSFT,SELL,6,334.27,,,0.8031506348252849,,LOW,2003.61438,47.3143799999998,2.418564637325553,31.0,Model sell signal,
2023-09-20,MSFT,BUY,6,320.77,1926.5446199999997,0.1270670251017609,0.8361930364411494,295.1084,MEDIUM,,,,,,
2023-10-06,MSFT,SELL,6,327.26,,,0.8361930364411494,,MEDIUM,1961.59644,36.97644000000014,1.9212332824141982,16.0,Model sell signal,
2023-10-10,MSFT,BUY,6,328.39,1972.3103399999998,0.12326920025853948,0.8090657161324248,302.1188,MEDIUM,,,,,,
2023-11-10,MSFT,SELL,6,369.67,,,0.8090657161324248,,MEDIUM,2215.80198,245.46198000000027,12.457848899174776,31.0,Model sell signal,
2023-11-17,MSFT,BUY,6,369.85,2221.3191,0.13772621317544226,0.9123300941103019,340.26200000000006,MEDIUM,,,,,,
2023-11-22,MSFT,SELL,6,377.85,,,0.9123300941103019,,MEDIUM,2264.8329000000003,45.73289999999997,2.060876030823305,5.0,Model sell signal,
2023-12-14,MSFT,BUY,6,365.93,2197.7755799999995,0.1281995292858292,0.8442823520416372,336.6556,MEDIUM,,,,,,
2024-01-24,MSFT,SELL,6,402.56,,,0.8442823520416372,,LOW,2412.94464,217.36464000000024,9.90010111223459,41.0,Model sell signal,
2024-01-31,MSFT,BUY,5,397.58,1989.8878999999997,0.13025245879836506,0.8589461342740361,365.7736,MEDIUM,,,,,,
2024-02-07,MSFT,SELL,5,414.05,,,0.8589461342740361,,MEDIUM,2068.17975,80.27974999999992,4.038419940640874,7.0,Model sell signal,
2024-02-22,MSFT,BUY,5,411.65,2060.3082499999996,0.13607482146317568,0.9005344390226834,378.718,MEDIUM,,,,,,
2024-02-28,MSFT,SELL,5,407.72,,,0.9005344390226834,,LOW,2036.5614,-21.68859999999995,-1.0537398275233791,6.0,Model sell signal,
2024-03-05,MSFT,BUY,5,402.65,2015.2632499999997,0.13331505251792258,0.8808218036994471,370.438,MEDIUM,,,,,,
2024-03-14,MSFT,SELL,5,425.22,,,0.8808218036994471,,HIGH,2123.9739000000004,110.72390000000041,5.499759095989093,9.0,Model sell signal,
2024-03-28,MSFT,BUY,5,420.72,2105.7036000000003,0.12281367383827518,0.8058119559876799,387.0624,MEDIUM,,,,,,
2024-04-15,MSFT,SELL,5,413.64,,,0.8058119559876799,,MEDIUM,2066.1317999999997,-37.46820000000071,-1.78114660581863,18.0,Model sell signal,
2024-04-29,MSFT,BUY,5,402.25,2013.2612499999998,0.12416086141499444,0.8154347243928175,370.07,MEDIUM,,,,,,
2024-05-06,MSFT,SELL,5,413.54,,,0.8154347243928175,,HIGH,2065.6323,54.382300000000214,2.703905531385965,7.0,Model sell signal,
